%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
170.75	1102.90578557	237.543781434
171	1110.26983169	240.358307555
171.25	1111.40276187	242.047023228
171.5	1109.13690152	243.172833677
171.75	1106.30457609	243.735738901
172	1102.33932048	243.735738901
172.25	1098.94052996	243.172833677
172.5	1095.54173944	243.172833677
172.75	1091.57648383	243.735738901
173	1088.17769331	243.172833677
173.25	1084.77890279	243.172833677
173.5	1081.38011227	243.172833677
173.75	1077.98132175	242.609928452
174	1074.01606614	242.609928452
174.25	1070.05081054	242.047023228
174.5	1066.08555493	242.047023228
174.75	1060.98736915	241.484118004
175	1055.88918337	240.92121278
175.25	1047.95867216	239.795402331
175.5	1037.19583551	239.232497107
175.75	1017.93602256	236.417970986
176	998.109744527	231.914729192
176.25	990.179233313	229.10020307
176.5	985.64751262	225.722771725
176.75	982.815187186	223.471150828
177	980.54932684	220.093719482
177.25	978.283466493	217.279193361
177.5	976.584071233	214.46466724
177.75	974.318210886	212.213046343
178	972.618815626	209.961425446
178.25	970.352955279	207.146899325
178.5	968.653560019	204.895278428
178.75	966.954164759	202.643657531
179	965.254769499	200.954941858
179.25	963.555374239	199.266226185
179.5	961.855978979	198.703320961
179.75	960.156583718	197.014605288
180	959.023653545	195.88879484
180.25	957.890723372	195.325889615
180.5	956.191328112	194.200079167
180.75	954.491932851	194.200079167
181	953.359002678	193.074268718
181.25	952.226072505	193.637173943
181.5	951.093142331	193.074268718
181.75	949.960212158	192.511363494
182	948.260816898	192.511363494
182.25	947.694351811	192.511363494
182.5	946.561421638	193.074268718
182.75	945.428491464	193.637173943
183	944.295561291	193.637173943
183.25	943.162631118	193.637173943
183.5	942.596166031	194.762984391
183.75	941.463235857	194.762984391
184	940.896770771	194.762984391
184.25	940.330305684	195.88879484
184.5	939.763840597	195.88879484
184.75	938.064445337	196.451700064
185	937.497980251	197.014605288
185.25	937.497980251	197.577510512
185.5	936.365050077	198.140415737
185.75	935.79858499	198.703320961
186	935.232119904	199.266226185
186.25	935.232119904	199.829131409
186.5	934.09918973	200.392036634
186.75	933.532724644	200.954941858
187	933.532724644	201.517847082
187.25	932.966259557	202.080752306
187.5	931.833329384	203.206562755
187.75	931.833329384	202.643657531
188	931.833329384	203.206562755
188.25	931.266864297	203.769467979
188.5	931.266864297	204.895278428
188.75	930.70039921	205.458183652
189	930.70039921	205.458183652
189.25	931.266864297	206.021088876
189.5	930.133934123	206.5839941
189.75	930.133934123	207.146899325
190	930.133934123	207.709804549
190.25	930.133934123	207.709804549
190.5	930.133934123	208.835614997
190.75	930.70039921	208.272709773
191	932.966259557	209.398520222
191.25	938.630910424	209.961425446
191.5	953.359002678	210.52433067
191.75	979.982861753	212.775951567
192	1027.56592904	217.279193361
192.25	1064.95262476	223.471150828
192.5	1092.14294892	230.226013519
192.75	1106.87104117	234.166350089
193	1111.96922695	237.543781434
193.25	1111.40276187	239.795402331
193.5	1109.70336661	239.795402331
193.75	1107.43750626	240.358307555
194	1102.90578557	240.358307555
194.25	1098.94052996	239.795402331
194.5	1094.97527435	239.795402331
194.75	1091.01001875	240.358307555
195	1087.04476314	239.795402331
195.25	1083.64597262	239.232497107
195.5	1079.11425193	239.232497107
195.75	1074.58253123	238.669591883
196	1070.05081054	238.669591883
196.25	1065.51908984	238.106686658
196.5	1059.85443898	237.543781434
196.75	1053.05685794	236.417970986
197	1042.86048638	235.292160537
197.25	1025.86653378	233.04053964
197.5	1003.20793031	228.537297846
197.75	992.44509366	224.596961276
198	987.34690788	221.219529931
198.25	983.94811736	218.40500381
198.5	981.682257013	214.46466724
198.75	978.283466493	211.087235894
